Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/05/20 21:17:31.24,IMU,-127.44,-95.21,1001.95,-0.79,-0.96,0.22,-100.35,-6.75,-219.75,31.1
2026/05/20 21:17:31.34,IMU,-97.66,6.84,960.45,-3.31,3.54,-3.53,-100.95,-6.60,-218.40,31.0
2026/05/20 21:17:31.44,IMU,-71.78,-86.91,982.91,-2.08,-5.60,0.70,-101.85,-7.20,-218.70,31.1
2026/05/20 21:17:31.54,IMU,-92.77,-111.33,971.68,-3.94,2.70,-6.44,-101.70,-6.60,-220.35,31.4
2026/05/20 21:17:31.64,IMU,-87.40,-153.81,986.82,1.55,-2.15,1.82,-102.45,-8.10,-218.40,31.1
2026/05/20 21:17:31.74,IMU,-69.34,-99.12,982.91,1.87,0.55,0.33,-100.80,-6.75,-219.75,31.3
2026/05/20 21:17:31.84,IMU,-102.05,-91.31,996.58,-2.02,0.05,-1.37,-101.55,-6.45,-219.00,31.4
2026/05/20 21:17:31.94,IMU,-82.03,-104.00,994.63,0.71,-1.50,-1.38,-101.25,-8.10,-220.65,31.2
2026/05/20 21:17:32.04,IMU,-87.89,-109.86,992.19,1.43,-0.11,-0.66,-101.70,-6.15,-218.40,31.0
2026/05/20 21:17:32.14,IMU,-70.80,-66.89,1061.04,1.85,-1.73,5.18,-102.15,-6.00,-219.75,31.0
2026/05/20 21:17:32.24,IMU,-83.50,-55.18,992.68,-4.52,-2.64,1.76,-100.35,-4.80,-219.00,31.1
2026/05/20 21:17:32.34,IMU,-92.29,-104.98,974.12,2.18,0.44,2.82,-101.70,-6.60,-219.90,31.1
2026/05/20 21:17:32.44,IMU,-77.15,-107.91,1022.95,11.57,-1.17,10.04,-101.55,-6.45,-218.25,31.2
2026/05/20 21:17:32.54,IMU,-95.21,-140.14,1056.15,17.93,-5.72,22.15,-101.10,-6.00,-220.50,31.2
2026/05/20 21:17:32.64,IMU,-38.09,-32.71,993.65,22.28,3.89,25.18,-101.85,-6.00,-220.80,31.0
2026/05/20 21:17:32.74,IMU,-87.40,32.71,990.23,33.99,11.58,27.45,-102.15,-5.25,-219.45,31.3
2026/05/20 21:17:32.84,IMU,-27.83,-208.98,922.36,21.18,16.45,15.63,-100.35,-5.25,-218.70,31.4
2026/05/20 21:17:32.94,IMU,-118.65,139.16,984.38,3.22,10.78,-13.78,-101.70,-3.60,-218.40,31.0
2026/05/20 21:17:33.05,IMU,-101.56,137.70,968.75,3.13,1.10,-8.69,-100.05,-3.75,-217.95,31.1
2026/05/20 21:17:33.15,IMU,-141.11,132.81,960.94,-0.60,-4.44,-1.19,-99.60,-3.75,-219.75,31.1
2026/05/20 21:17:33.25,IMU,-146.48,93.75,968.75,6.63,-5.15,-1.27,-100.35,-3.75,-219.45,31.2
2026/05/20 21:17:33.35,IMU,-118.65,151.86,988.28,15.42,-5.28,3.09,-99.90,-2.70,-219.60,31.1
2026/05/20 21:17:33.45,IMU,-97.17,164.55,981.93,1.49,-2.99,-1.32,-100.05,-3.00,-218.25,31.2
2026/05/20 21:17:33.57,IMU,-105.96,152.34,979.49,-5.18,-3.11,0.77,-100.50,-1.20,-219.60,31.1
2026/05/20 21:17:33.67,IMU,-96.68,173.34,978.52,-0.45,-0.14,-1.70,-101.85,-3.75,-218.70,31.2
2026/05/20 21:17:33.77,IMU,-106.45,145.51,977.54,-2.00,-1.87,-0.34,-101.10,-2.55,-220.05,31.3
2026/05/20 21:17:33.87,IMU,-103.52,144.04,985.35,0.99,-2.37,5.82,-100.05,-3.75,-219.75,31.0
2026/05/20 21:17:33.97,IMU,-97.66,180.66,954.59,-3.24,-0.11,-0.42,-100.95,-2.70,-219.60,31.0
2026/05/20 21:17:34.07,IMU,-93.26,160.64,993.65,2.40,0.04,1.02,-101.55,-3.30,-220.50,31.1
2026/05/20 21:17:34.17,IMU,-112.30,152.83,975.10,2.44,-2.06,2.51,-100.95,-3.15,-220.35,31.2
2026/05/20 21:17:34.27,IMU,-91.31,139.16,971.68,-2.58,0.60,-1.29,-102.90,-2.25,-219.75,31.2
2026/05/20 21:17:34.37,IMU,-84.47,143.07,969.73,-4.21,3.26,-2.15,-100.20,-3.60,-220.35,31.4
2026/05/20 21:17:34.47,IMU,-174.32,166.99,1005.37,7.08,1.09,2.87,-101.25,-3.15,-219.60,31.4
2026/05/20 21:17:34.57,IMU,-108.89,163.09,981.93,-29.46,7.98,-11.72,-101.85,-2.25,-219.00,31.0
2026/05/20 21:17:34.67,IMU,-117.19,94.24,980.96,-16.87,2.72,-10.57,-100.50,-1.95,-218.10,31.1
2026/05/20 21:17:34.77,IMU,-83.01,-36.13,1155.76,5.43,-7.18,-8.40,-100.50,-4.65,-219.60,31.1
2026/05/20 21:17:34.87,IMU,-56.64,76.66,987.79,14.63,-6.82,-15.78,-102.60,-2.55,-220.50,30.9
2026/05/20 21:17:34.97,IMU,-78.61,136.23,954.59,-12.19,2.23,-20.11,-101.25,-2.40,-220.95,31.0
2026/05/20 21:17:35.08,IMU,-118.16,100.10,1010.74,16.66,-20.55,3.70,-101.10,-2.55,-219.75,30.9
2026/05/20 21:17:35.18,IMU,-48.34,156.74,997.07,17.34,-18.34,0.44,-102.15,-0.75,-221.55,31.1
2026/05/20 21:17:35.28,IMU,-29.79,217.29,986.33,-3.50,1.43,-0.67,-103.35,-1.05,-221.55,31.2
2026/05/20 21:17:35.38,IMU,-85.94,138.18,997.07,-14.59,-0.05,5.87,-101.10,-0.30,-221.55,31.2
2026/05/20 21:17:35.48,IMU,-58.11,129.88,985.35,-7.99,1.31,4.78,-101.70,-3.15,-220.95,31.1
2026/05/20 21:17:35.58,IMU,-39.06,77.64,966.80,-5.91,0.26,7.38,-102.00,-1.95,-220.35,31.2
2026/05/20 21:18:03.04,IMU,-49.32,90.33,980.96,5.35,1.56,1.85,-101.70,-1.65,-220.95,31.1
2026/05/20 21:18:03.14,IMU,-38.09,105.96,973.63,-0.39,1.57,4.13,-101.85,-2.25,-220.80,31.3
2026/05/20 21:18:03.24,IMU,-48.83,83.01,1021.97,4.20,-4.14,5.29,-102.45,-3.15,-220.65,31.0
2026/05/20 21:18:03.34,IMU,-50.78,147.95,979.98,-6.18,-0.30,5.42,-101.70,-2.70,-220.65,31.1
2026/05/20 21:18:03.44,IMU,-29.79,129.39,970.21,-3.27,-3.57,-0.79,-101.70,-2.70,-220.65,31.2
2026/05/20 21:18:03.55,IMU,-37.11,126.46,978.03,-0.23,0.13,2.59,-101.25,-1.65,-221.70,31.1
2026/05/20 21:18:03.65,IMU,-44.43,83.01,974.61,0.24,2.49,6.32,-101.25,-2.40,-220.95,31.1
2026/05/20 21:18:03.75,IMU,-52.73,91.31,995.61,-3.28,0.60,1.46,-102.75,-2.70,-220.65,31.1
2026/05/20 21:18:03.85,IMU,-57.62,85.94,982.91,0.10,-0.05,3.82,-103.35,-3.00,-220.05,31.2
2026/05/20 21:18:03.95,IMU,-56.64,91.31,1010.74,-0.23,-0.89,3.05,-102.45,-2.70,-221.70,31.0
2026/05/20 21:18:04.06,IMU,-63.96,77.15,1001.46,12.11,-1.24,2.23,-101.70,-2.70,-219.90,31.1
2026/05/20 21:18:04.16,IMU,-41.02,158.20,985.35,2.55,-0.87,2.67,-102.75,-2.40,-220.65,31.0
2026/05/20 21:18:04.26,IMU,-54.20,100.10,995.61,-4.07,5.23,1.09,-102.90,-2.55,-222.30,31.0
2026/05/20 21:18:04.36,IMU,-49.80,103.03,984.86,3.44,-0.92,0.35,-101.85,-3.00,-220.80,31.0
2026/05/20 21:18:04.46,IMU,-50.78,113.77,974.12,-2.02,-1.17,-1.24,-101.70,-2.40,-222.15,31.1
2026/05/20 21:18:04.56,IMU,-42.48,97.17,991.21,1.14,0.79,-2.49,-102.90,-2.55,-219.45,31.0
2026/05/20 21:18:04.66,IMU,-56.15,104.98,1020.02,-1.34,3.72,1.88,-102.60,-1.05,-220.05,31.0
2026/05/20 21:18:04.76,IMU,-61.52,143.55,969.73,-5.53,4.19,0.28,-105.30,-4.35,-217.35,31.1
2026/05/20 21:18:04.86,IMU,-77.64,103.03,997.07,-9.25,3.01,-1.46,-101.10,-1.50,-219.45,31.0
2026/05/20 21:18:04.96,IMU,-77.15,62.01,975.59,4.94,-3.18,4.48,-101.85,-3.00,-219.75,31.2
2026/05/20 21:18:05.08,IMU,-77.64,59.57,1012.70,3.63,-0.05,1.59,-101.55,-2.55,-220.80,31.2
2026/05/20 21:18:05.18,IMU,-43.46,106.93,1010.25,-2.12,4.60,1.67,-100.35,-2.25,-219.45,31.1
2026/05/20 21:18:05.28,IMU,-81.54,122.07,983.89,-4.24,7.93,-5.19,-101.25,-3.15,-220.35,31.2
2026/05/20 21:18:05.38,IMU,-92.29,163.57,995.12,14.00,3.26,3.79,-101.70,-1.20,-220.35,31.1
2026/05/20 21:18:05.48,IMU,-86.91,149.90,982.42,14.73,0.66,3.98,-100.95,-1.95,-218.85,31.0
2026/05/20 21:18:05.58,IMU,-100.10,171.39,990.72,-8.27,5.01,-8.76,-101.55,-1.50,-220.05,31.1
2026/05/20 21:18:05.68,IMU,-89.84,120.12,976.56,-4.82,-0.57,-3.92,-101.10,-1.50,-220.05,30.9
2026/05/20 21:18:05.78,IMU,-92.77,152.34,900.39,0.92,-0.88,-5.50,-103.95,-4.35,-215.55,31.1
2026/05/20 21:18:05.88,IMU,-101.07,109.37,970.70,-3.13,2.44,-3.08,-101.70,-1.20,-220.65,31.1
