Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 15:03:58.00,IMU,-85.94,-12.21,-1013.18,-0.70,-0.24,1.02,-51.00,16.65,54.00,28.6
2026/04/13 15:03:58.10,IMU,-77.64,-10.74,-1020.02,0.11,-0.20,1.79,-51.30,16.80,53.85,28.6
2026/04/13 15:03:58.20,IMU,-75.20,-22.46,-1011.72,0.40,1.47,2.15,-50.10,17.25,52.80,28.3
2026/04/13 15:03:58.30,IMU,-86.91,-38.57,-1012.70,0.11,1.81,-0.97,-51.00,17.70,54.45,28.4
2026/04/13 15:03:58.40,IMU,-82.52,-27.34,-1013.18,0.15,-0.60,-1.56,-51.45,16.95,53.70,28.6
2026/04/13 15:03:58.50,IMU,-83.01,-23.44,-1023.93,0.28,0.22,-0.49,-51.75,16.20,53.70,28.5
2026/04/13 15:03:58.60,IMU,-71.29,-10.74,-1013.67,-0.56,-1.95,-2.47,-51.00,17.40,53.70,28.0
2026/04/13 15:03:58.70,IMU,-82.03,-19.04,-1017.09,0.58,2.03,0.59,-50.85,16.80,53.10,28.5
2026/04/13 15:03:58.80,IMU,-78.61,-31.74,-1009.77,0.66,-2.34,-1.05,-51.00,16.95,53.40,28.2
2026/04/13 15:03:58.90,IMU,-73.24,-29.30,-1020.02,-1.67,1.84,1.31,-50.10,18.00,52.80,28.4
2026/04/13 15:03:59.00,IMU,-75.68,-37.11,-1014.65,-1.08,-0.60,0.82,-51.00,17.70,52.65,28.4
2026/04/13 15:03:59.11,IMU,-75.20,-13.67,-1005.86,-0.40,0.34,1.05,-52.80,16.80,53.85,28.4
2026/04/13 15:03:59.21,IMU,-78.12,-22.95,-1011.23,-0.66,0.39,-1.14,-52.05,18.30,54.90,28.8
2026/04/13 15:03:59.31,IMU,-77.15,-27.34,-1009.77,-0.63,-1.54,-2.45,-51.30,18.00,53.85,28.6
2026/04/13 15:03:59.41,IMU,-80.57,-30.76,-1015.14,0.29,0.28,-1.16,-51.60,16.50,53.55,28.4
2026/04/13 15:03:59.51,IMU,-75.68,-21.00,-1016.11,-1.52,1.31,1.66,-51.00,18.60,53.40,28.2
2026/04/13 15:03:59.61,IMU,-84.96,-36.13,-1021.48,-0.74,1.42,-1.11,-50.85,16.05,54.90,28.4
2026/04/13 15:03:59.71,IMU,-74.71,-25.39,-1012.21,-1.03,0.83,-1.47,-50.40,18.15,52.65,28.7
2026/04/13 15:03:59.81,IMU,-79.59,-29.30,-1013.67,0.10,-0.74,-1.99,-51.30,17.55,52.05,28.6
2026/04/13 15:03:59.91,IMU,-83.50,-10.74,-1023.44,1.01,-0.06,-1.27,-50.55,17.55,52.50,28.4
2026/04/13 15:04:00.01,IMU,-73.73,-15.63,-1014.65,-0.96,0.25,0.88,-52.80,18.75,52.50,28.5
2026/04/13 15:04:00.11,IMU,-75.20,-18.07,-996.09,-0.92,1.72,1.84,-51.60,18.00,52.05,28.6
2026/04/13 15:04:00.21,IMU,-71.78,-27.34,-1018.07,0.86,-0.40,1.64,-50.10,18.75,52.80,28.4
2026/04/13 15:04:00.31,IMU,-80.08,-18.07,-1009.28,-2.20,0.81,1.84,-51.45,16.95,51.90,28.4
2026/04/13 15:04:00.41,IMU,-49.80,-36.62,-1020.51,0.35,1.59,-3.27,-50.70,16.65,52.20,28.6
2026/04/13 15:04:00.51,IMU,-69.34,-23.93,-1014.16,-1.51,2.51,-1.96,-50.70,16.65,52.95,28.7
2026/04/13 15:04:00.61,IMU,-84.47,-24.90,-1015.14,0.15,-0.83,0.73,-49.35,17.55,53.10,28.6
2026/04/13 15:04:00.71,IMU,-67.38,-18.55,-1016.11,0.13,1.37,-0.46,-51.45,17.40,53.40,28.4
2026/04/13 15:04:00.81,IMU,-87.89,-25.88,-999.02,0.26,0.29,-1.11,-49.80,17.25,52.05,28.4
2026/04/13 15:04:00.91,IMU,-94.24,-35.16,-1166.50,-0.50,-1.88,-1.47,-51.00,18.15,53.40,28.5
2026/04/13 15:04:01.01,IMU,-80.57,-34.67,-1029.79,0.02,0.76,-1.23,-51.30,17.55,53.85,28.6
2026/04/13 15:04:01.11,IMU,-85.45,-23.44,-1026.86,0.40,1.48,-3.19,-51.30,17.55,54.30,28.3
2026/04/13 15:04:01.21,IMU,-77.64,-31.25,-1022.95,0.49,0.74,-0.47,-51.60,17.25,52.80,28.8
2026/04/13 15:04:01.31,IMU,-72.75,-22.46,-1021.97,0.39,-0.08,-0.85,-51.00,17.70,52.95,28.4
2026/04/13 15:04:01.41,IMU,-82.03,-20.02,-1016.60,0.25,3.21,-1.25,-50.70,18.15,51.90,28.4
2026/04/13 15:04:01.51,IMU,-66.89,-16.60,-1017.09,1.14,1.17,-1.65,-49.80,19.05,51.75,28.6
2026/04/13 15:04:01.61,IMU,-80.08,-28.81,-1023.44,0.73,-1.11,-0.64,-51.60,16.80,51.75,28.4
2026/04/13 15:04:01.71,IMU,-74.22,-29.30,-1026.86,-1.14,-1.41,-1.05,-50.85,18.30,52.05,28.5
2026/04/13 15:04:01.82,IMU,-85.45,-20.02,-1043.46,0.09,1.04,0.12,-50.40,18.15,51.60,28.6
2026/04/13 15:04:01.92,IMU,-67.38,-23.44,-1009.28,-0.49,-0.01,-0.76,-51.30,18.00,50.70,28.2
2026/04/13 15:04:02.02,IMU,-73.73,-22.46,-1031.25,1.77,3.42,0.22,-49.35,16.80,51.00,28.6
2026/04/13 15:04:02.12,IMU,-64.45,-34.18,-1016.11,-1.89,1.92,-2.67,-50.40,17.40,51.60,28.4
2026/04/13 15:04:02.22,IMU,-73.24,-17.09,-1019.04,1.08,-1.85,1.10,-49.80,16.80,51.75,28.6
2026/04/13 15:04:02.32,IMU,-79.10,-26.86,-1012.21,1.94,0.95,1.58,-50.10,19.50,51.30,28.4
2026/04/13 15:04:02.42,IMU,-71.29,-1.46,-999.51,-0.37,2.75,1.04,-50.10,17.55,52.05,28.6
2026/04/13 15:04:02.52,IMU,-63.48,-16.11,-1017.58,-1.24,0.53,3.15,-49.80,16.80,51.30,28.1
2026/04/13 15:04:02.62,IMU,-83.01,-15.63,-1036.62,2.14,1.35,0.73,-49.95,17.70,49.80,28.6
2026/04/13 15:04:02.72,IMU,-67.87,-19.53,-1003.42,0.98,-1.62,-1.21,-48.30,16.80,49.20,28.4
2026/04/13 15:04:02.82,IMU,-79.10,-24.90,-1014.16,-0.79,-1.40,-3.27,-48.75,17.55,49.50,28.6
2026/04/13 15:04:02.92,IMU,-62.99,-22.95,-999.51,-1.29,0.14,0.17,-49.65,17.70,50.40,28.7
2026/04/13 15:04:03.02,IMU,-90.82,-15.63,-1016.60,0.84,0.05,-0.66,-48.90,17.40,51.15,28.3
2026/04/13 15:04:03.12,IMU,-73.73,-24.90,-1014.16,0.11,2.19,1.56,-49.80,16.50,52.05,28.6
2026/04/13 15:04:03.22,IMU,-65.92,-16.11,-1012.70,0.73,-1.15,-2.51,-50.10,16.05,50.70,28.6
2026/04/13 15:04:03.32,IMU,-93.26,-30.27,-1022.95,0.56,1.30,0.79,-49.95,17.70,51.60,28.6
2026/04/13 15:04:03.42,IMU,-64.45,-33.20,-1016.60,-1.37,-3.47,-1.58,-50.70,16.95,50.85,28.3
2026/04/13 15:04:03.52,IMU,-76.17,-23.44,-1012.70,-1.31,0.90,1.79,-49.65,16.95,52.20,28.6
2026/04/13 15:04:03.62,IMU,-81.05,-30.76,-1007.81,-0.43,0.59,-0.12,-51.30,16.80,51.00,28.6
2026/04/13 15:04:03.72,IMU,-71.29,-23.44,-1067.38,1.08,-2.27,-1.92,-49.95,16.95,50.40,28.5
2026/04/13 15:04:03.82,IMU,-80.08,-24.90,-1031.25,0.69,-0.97,0.83,-51.60,18.00,52.50,28.7
