Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 15:03:58.00,IMU,34.18,-8.30,-1021.48,0.28,0.38,1.12,-36.75,-5.55,-1.05,28.0
2026/04/13 15:03:58.10,IMU,42.97,-20.51,-1010.25,0.31,-1.29,1.85,-36.30,-6.75,-0.60,27.9
2026/04/13 15:03:58.20,IMU,52.73,-22.95,-1019.04,0.68,0.98,2.43,-37.50,-7.20,0.30,27.8
2026/04/13 15:03:58.30,IMU,48.83,-24.90,-1020.51,-0.51,-0.63,-0.96,-37.20,-5.10,-0.90,28.0
2026/04/13 15:03:58.40,IMU,51.76,-21.48,-1011.72,0.71,2.14,0.69,-37.80,-6.45,0.00,28.0
2026/04/13 15:03:58.50,IMU,41.50,-14.16,-1010.74,-2.18,-0.09,2.70,-36.30,-6.00,-1.80,28.0
2026/04/13 15:03:58.60,IMU,47.85,-14.16,-1016.60,0.18,0.73,-0.37,-36.00,-6.45,-1.05,28.0
2026/04/13 15:03:58.70,IMU,47.85,-8.79,-1019.04,2.00,-0.44,-0.47,-37.05,-5.25,-0.60,28.1
2026/04/13 15:03:58.80,IMU,55.18,-9.28,-1005.86,-0.88,0.73,0.55,-36.60,-6.90,-0.45,28.0
2026/04/13 15:03:58.90,IMU,66.41,-8.30,-1019.04,-0.85,0.20,-0.29,-37.65,-5.85,0.45,28.0
2026/04/13 15:03:59.00,IMU,49.80,-13.67,-1011.23,0.85,1.91,0.17,-37.95,-7.35,-0.90,28.3
2026/04/13 15:03:59.11,IMU,51.27,-31.25,-1018.55,-0.71,2.95,0.80,-36.60,-6.60,-0.90,28.0
2026/04/13 15:03:59.21,IMU,41.99,-15.14,-1016.60,1.15,3.48,-0.98,-35.40,-6.60,0.15,28.0
2026/04/13 15:03:59.31,IMU,42.97,-36.62,-983.40,-0.98,2.50,0.20,-36.60,-6.60,-0.45,28.0
2026/04/13 15:03:59.41,IMU,48.34,-34.18,-1016.11,1.53,0.45,2.79,-36.30,-6.45,-0.30,27.8
2026/04/13 15:03:59.51,IMU,66.41,-25.39,-1020.02,1.54,-0.11,-0.25,-37.20,-6.90,0.45,28.0
2026/04/13 15:03:59.61,IMU,42.48,-16.60,-1015.63,0.52,0.50,0.60,-36.60,-6.90,0.90,28.0
2026/04/13 15:03:59.71,IMU,37.60,-27.34,-1059.08,1.76,0.00,-1.19,-36.30,-5.25,0.30,27.8
2026/04/13 15:03:59.81,IMU,50.29,-17.58,-1009.28,-0.17,0.65,1.46,-37.05,-7.20,0.60,28.0
2026/04/13 15:03:59.91,IMU,62.01,-14.65,-1021.00,1.47,2.89,-0.94,-36.75,-5.55,-0.30,28.1
2026/04/13 15:04:00.01,IMU,42.97,-21.48,-1005.37,-2.82,-0.92,-0.46,-36.00,-6.45,-0.30,28.3
2026/04/13 15:04:00.11,IMU,45.41,-11.72,-1004.88,0.16,-1.08,-1.18,-36.60,-7.35,0.90,27.7
2026/04/13 15:04:00.21,IMU,45.41,-24.41,-1011.72,0.24,1.40,-1.73,-37.80,-6.75,-0.30,28.4
2026/04/13 15:04:00.31,IMU,58.59,-27.83,-1018.55,-0.53,2.20,1.51,-37.50,-6.75,-0.60,28.0
2026/04/13 15:04:00.41,IMU,52.25,-23.44,-1008.30,0.28,2.65,-0.24,-36.90,-5.85,0.45,28.2
2026/04/13 15:04:00.51,IMU,37.60,1.95,-1019.04,0.11,0.40,2.09,-36.60,-7.65,-0.45,28.0
2026/04/13 15:04:00.61,IMU,42.97,-26.37,-1013.67,0.08,0.55,-3.35,-37.05,-6.00,-0.30,28.1
2026/04/13 15:04:00.71,IMU,51.27,-13.67,-1012.70,0.00,1.79,-4.24,-36.90,-7.35,-0.90,28.1
2026/04/13 15:04:00.81,IMU,53.71,-13.67,-1025.39,-0.17,-0.72,-1.45,-37.95,-5.85,1.20,28.4
2026/04/13 15:04:00.91,IMU,43.95,-18.07,-1001.95,-0.47,1.88,2.50,-36.75,-7.20,-0.60,28.0
2026/04/13 15:04:01.01,IMU,32.23,-22.46,-1012.21,1.92,1.01,0.53,-36.00,-6.75,-1.05,28.3
2026/04/13 15:04:01.11,IMU,34.18,-11.23,-997.07,-0.69,-0.59,0.63,-36.30,-6.00,-0.30,28.2
2026/04/13 15:04:01.21,IMU,53.22,-11.72,-1024.90,0.31,-2.02,-2.55,-37.20,-7.35,0.15,28.2
2026/04/13 15:04:01.31,IMU,48.83,-17.09,-1004.88,1.08,-1.10,-0.33,-37.05,-5.25,0.30,28.4
2026/04/13 15:04:01.41,IMU,46.88,-21.97,-1016.60,0.81,1.47,-0.14,-35.40,-6.60,-0.15,28.3
2026/04/13 15:04:01.51,IMU,37.11,-15.63,-1016.60,0.95,-0.32,-2.26,-37.05,-6.45,-1.35,28.0
